Month,Income (₹),Savings (₹),Rent (₹),Groceries (₹),Transportation (₹),Utilities (₹),Dining Out (₹),Entertainment (₹),Medical (₹),Total Expenditure (₹)
2020-01,86000,18200,24000,5600,2600,1600,2700,2200,2300,41300
2020-01,560300,133000,155800,17900,14100,22900,42100,17100,10200,274900
2020-01,110900,23800,20900,15400,9200,4000,5000,3600,5100,63800
2020-01,59800,12700,8500,3600,3000,2600,3000,1100,400,21900
2020-01,28100,5400,9600,2300,1300,800,2600,900,700,18400
2020-01,38100,5200,8500,4200,2300,800,1300,1400,300,19000
2020-01,19600,3600,5000,2600,1200,300,700,700,900,11200
2020-01,181300,42600,51300,17700,13100,3300,19100,6600,4800,115800
2020-01,44300,9900,16600,2400,1600,600,2500,400,600,25200
2020-01,107800,22600,29200,8700,6300,4200,9800,5200,4300,65800
2020-01,25300,1400,5900,1800,800,1000,500,1200,0,11300
2020-01,397100,66400,88700,35300,18300,14100,8800,11300,13600,186900
2020-01,196500,31600,50600,24900,10000,5800,7300,7200,9300,115100
2020-01,32000,3600,6300,600,1700,1600,1500,900,1000,13700
2020-01,20100,4700,5300,1600,1000,600,500,800,500,10600
2020-01,28700,1700,7400,2200,1900,900,2000,500,300,15200
2020-01,60100,13800,22500,3100,2300,1800,4300,3000,2800,40700
2020-01,89400,23200,22700,9600,4800,2400,3400,3600,3900,49800
2020-01,77300,12900,9700,3700,2700,2800,3100,3200,1600,26600
2020-01,35600,6200,15900,1800,3900,800,1500,1000,700,25800
2020-01,66000,15700,21600,7600,2100,1500,2000,600,3200,38700
2020-01,37900,5100,15400,5100,1400,1400,0,1600,1400,26200
2020-01,24400,5400,4400,2100,1700,600,1400,200,100,10400
2020-01,60300,7500,14700,3200,2500,1900,3000,2600,1600,30100
2020-01,48400,5200,14900,3300,3300,1300,2500,900,1300,27400
2020-01,93500,18500,27800,11200,5000,2800,3200,600,3200,53000
2020-01,24000,4300,6800,2200,1000,600,1900,700,700,13700
2020-01,67100,5100,7100,5800,2300,1600,8100,3200,1500,29900
2020-01,42000,11100,5900,4200,1400,900,1600,700,1400,16600
2020-01,39200,6100,14400,3500,1700,1500,3700,2100,900,27600
2020-01,75500,15900,28600,10300,3500,2400,5200,3000,6100,61000
2020-01,17300,4800,4400,1200,600,700,1100,600,600,9200
2020-01,17700,3400,6300,1100,800,700,900,400,500,10700
2020-01,314400,80600,59200,15200,8800,8000,18200,7700,18100,133400
2020-01,474900,60900,97100,35000,30900,18400,42100,17300,4500,244600
2020-01,179000,47500,32700,10200,12300,5300,5600,7600,5100,77900
2020-01,45900,6000,9200,4400,1600,1300,2400,1000,700,20300
2020-01,37900,5500,11800,3400,1300,1600,3500,700,1500,23200
2020-01,233100,21600,46500,13400,12500,8300,19700,6200,5300,114900
2020-01,75200,14700,31300,8100,5700,2000,2400,3800,2900,57100
2020-01,21000,4600,6100,2800,1700,700,1200,200,800,13600
2020-01,91100,20600,30600,9200,2000,1600,7100,4300,3800,58500
2020-01,20800,2000,6100,400,1500,700,1600,600,800,11700
2020-01,294200,59600,101500,44000,14300,4400,24800,1500,7800,196000
2020-01,27700,5700,5500,3100,1400,600,1900,600,300,13200
2020-01,131400,28500,47500,19500,7900,4700,9700,5100,5900,101400
2020-01,62700,8400,16900,7700,2500,300,4300,3600,3200,38300
2020-01,54200,1600,18700,7000,3900,2600,5400,500,900,39200
2020-01,80900,18000,12900,7800,6300,3100,4000,0,3300,36500
2020-01,30900,5300,8400,2500,2400,400,1900,300,400,16200
2020-01,331600,65300,89600,33600,4400,17900,11500,15600,11000,180400
2020-01,189100,33000,41000,13000,8600,10700,5600,600,6800,86900
2020-01,587800,114100,165700,60600,6600,16600,40000,30800,13900,339200
2020-01,217800,48800,80100,4400,7600,4500,9100,10500,6800,125700
2020-01,88300,6100,18700,8100,900,4100,5200,2900,3800,43300
2020-01,463600,115200,151800,60400,27400,12300,46600,9600,13100,315800
2020-01,22700,3800,4100,2100,1200,700,2200,700,500,11400
2020-01,34000,9400,13900,4800,1400,1400,3900,1300,400,26800
2020-01,30600,4700,9600,2500,1000,900,3100,1100,700,19000
2020-01,81300,11300,31000,9800,4600,2200,9800,4600,1000,61700
2020-01,91800,15700,28200,5800,2700,1600,6500,2400,2200,48100
2020-01,26400,5500,7600,3100,800,600,1000,300,600,13900
2020-01,122700,20100,38700,11900,3200,3400,4300,1000,5200,68400
2020-01,51700,11100,12900,4300,2400,900,4900,300,1600,26900
2020-01,32200,5000,4700,600,1200,600,2000,1100,2200,12600
2020-01,48600,8800,14200,4000,2100,1500,3100,1300,0,26300
2020-01,39300,12300,8100,3800,2400,500,1800,1200,1400,19600
2020-01,161700,32600,29600,18600,11200,3400,8000,3500,3800,77200
2020-01,21700,4500,6600,3000,1700,1100,1500,300,300,14200
2020-01,417600,38300,100400,63100,21400,11100,14000,16400,12300,240800
2020-01,175300,45800,58200,22300,10000,4400,11600,0,5000,112000
2020-01,17500,4300,3600,1300,900,500,1700,300,800,9100
2020-01,28300,3900,6400,2300,500,800,200,1200,900,12100
2020-01,153600,37300,52300,17200,6500,5500,3300,2500,3000,91300
2020-01,165000,33000,46100,17400,7000,5800,12700,5900,5800,99700
2020-01,130800,23900,20500,18200,5200,3400,12300,2400,3500,65700
2020-01,179000,46100,49800,29400,8800,5000,8500,4100,2300,107200
2020-01,24600,3700,8900,3900,1100,1100,200,1000,600,16900
2020-01,92200,12600,20900,12400,2800,1400,8800,1000,3100,49500
